	sequences per sample	iteration	T1	TS4	T9	T2	MN15	MN12	SM2	MN13	MT213	TL1	SM4	MT210	MT209	TS6	TS8	TL2	SM5	TL3
alpha_rarefaction_7102_8.txt	7102	8	9.40573	8.11351	9.24639	9.81525	7.23784	7.369	5.14427	5.78502	7.20177	9.14717	7.94582	5.21013	5.91416	6.1923	6.72577	10.1651	3.47008	9.29899
alpha_rarefaction_7102_9.txt	7102	9	9.23687	8.17442	9.12863	9.69369	7.15749	7.39025	5.28751	5.75014	7.11655	9.30156	7.94582	4.89099	5.91402	5.96009	6.52899	10.09722	3.36716	9.33464
alpha_rarefaction_7890_0.txt	7890	0	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_1.txt	7890	1	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_2.txt	7890	2	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.19816	3.51493	9.35942
alpha_rarefaction_7890_3.txt	7890	3	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_4.txt	7890	4	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27257	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_5.txt	7890	5	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_6.txt	7890	6	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_7.txt	7890	7	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.79805	10.25618	3.51493	9.35942
alpha_rarefaction_7890_8.txt	7890	8	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
alpha_rarefaction_7890_9.txt	7890	9	9.54307	8.27308	9.30784	9.85468	7.27609	7.4075	5.32629	5.82697	7.20177	9.30156	7.94582	5.21368	5.91416	6.27532	6.90636	10.25618	3.51493	9.35942
