taxonomy	S1_S1	S2_S3	S3_S5	S4_S7
g__Desulfobulbus_unclassified	1	0	13	0
o__Desulfobacterales_unclassified	0	1	9	1
f__Desulfohalobiaceae_unclassified	0	0	18	0
g__Desulfovermiculus_unclassified	0	0	42	0
g__Desulfovibrio_unclassified	0	1	6	15
o__Desulfovibrionales_unclassified	0	1	14	0
g__Geobacter_unclassified	30	12	1	130
f__Pelobacteraceae_unclassified	0	1	11	4
g__Desulfuromonas_unclassified	0	0	4	5
o__Desulfuromonadales_unclassified	19	3	7	76
o__FAC87_unclassified	2	3	0	1
o__GMD14H09_unclassified	0	0	42	0
o__GW-28_unclassified	0	0	2	0
o__MBNT15_unclassified	0	5	0	0
o__MIZ46_unclassified	18	14	4	24
f__0319-6G20_unclassified	0	2	0	2
f__Cystobacteraceae_unclassified	23	29	2	8
s__gephyra	1	1	0	0
g__Cystobacter_unclassified	6	9	0	7
f__Cystobacterineae_unclassified	0	2	12	1
f__Haliangiaceae_unclassified	34	43	8	56
g__Haliangium_unclassified	0	1	0	0
